,Actor,Nominations,Wins,Sum
688,Ruth Hussey,1,0,1.0
689,Ryan O'Neal,1,0,1.0
690,Sal Mineo,2,0,2.0
691,Sally Field,1,0,1.0
692,Sally Hawkins,1,0,1.0
693,Sally Kellerman,0,1,2.0
694,Sam Jaffe,1,0,1.0
695,Sam Shepard,1,0,1.0
696,Samantha Eggar,1,0,1.0
697,Samantha Morton,1,0,1.0
698,Samuel L. Jackson,1,0,1.0
699,Sandy Dennis,0,1,2.0
700,Saoirse Ronan,1,0,1.0
701,Sara Allgood,1,0,1.0
702,Sarah Miles,1,0,1.0
703,Sean Connery,0,1,2.0
704,Sessue Hayakawa,1,0,1.0
705,Seymour Cassel,1,0,1.0
706,Shelley Winters,2,2,6.0
707,Shirley Booth,0,1,2.0
708,Shirley Jones,0,1,2.0
709,Shirley Knight,2,0,2.0
710,Shirley MacLaine,3,0,3.0
711,Shohreh Aghdashloo,1,0,1.0
712,Sidney Poitier,1,1,3.0
713,Sigourney Weaver,1,0,1.0
714,Simone Signoret,1,1,3.0
715,Sir Laurence Olivier,1,0,1.0
716,Sondra Locke,1,0,1.0
717,Sophia Loren,1,1,3.0
718,Sophie Okonedo,1,0,1.0
719,Spencer Tracy,7,2,11.0
720,Spring Byington,1,0,1.0
721,Stanley Holloway,1,0,1.0
722,Stanley Tucci,1,0,1.0
723,Steve McQueen,1,0,1.0
724,Stuart Erwin,1,0,1.0
725,Stuart Whitman,1,0,1.0
726,Susan Hayward,4,1,6.0
727,Susan Kohner,1,0,1.0
728,Susan Peters,1,0,1.0
729,Susan Tyrrell,1,0,1.0
730,Susannah York,1,0,1.0
731,Sydney Greenstreet,1,0,1.0
732,Sylvester Stallone,1,0,1.0
733,Sylvia Miles,2,0,2.0
734,Sylvia Sidney,1,0,1.0
735,Talia Shire,1,0,1.0
736,Taraji P. Henson,1,0,1.0
737,Tatum O'Neal,0,1,2.0
738,Telly Savalas,1,0,1.0
739,Terence Stamp,1,0,1.0
740,Teresa Wright,2,1,4.0
741,Teri Garr,1,0,1.0
742,Terry Moore,1,0,1.0
743,Tess Harper,1,0,1.0
744,Thelma Ritter,6,0,6.0
745,Theodore Bikel,1,0,1.0
746,Thomas Gomez,1,0,1.0
747,Thomas Haden Church,1,0,1.0
748,Thomas Mitchell,1,1,3.0
749,Tilda Swinton,0,1,2.0
750,Tim Robbins,0,1,2.0
751,Tim Roth,1,0,1.0
752,Timothy Hutton,0,1,2.0
753,Tom Berenger,1,0,1.0
754,Tom Courtenay,1,0,1.0
755,Tom Cruise,1,0,1.0
756,Tom Hardy,1,0,1.0
757,Tom Tully,1,0,1.0
758,Tom Wilkinson,1,0,1.0
759,Tommy Lee Jones,2,1,4.0
760,Toni Collette,1,0,1.0
761,Tony Curtis,1,0,1.0
762,Topol,1,0,1.0
763,Trevor Howard,1,0,1.0
764,Tuesday Weld,1,0,1.0
765,Uma Thurman,1,0,1.0
766,Una Merkel,1,0,1.0
767,Valentina Cortese,1,0,1.0
768,Valerie Perrine,1,0,1.0
769,Van Heflin,0,1,2.0
770,Vanessa Redgrave,4,1,6.0
771,Vera Farmiga,1,0,1.0
772,Victor Buono,1,0,1.0
773,Victor McLaglen,1,1,3.0
774,Vincent Gardenia,2,0,2.0
775,Viola Davis,1,0,1.0
776,Virginia Madsen,1,0,1.0
777,Vittorio De Sica,1,0,1.0
778,Vivien Leigh,0,2,4.0
779,Vivien Merchant,1,0,1.0
780,Wallace Beery,1,1,3.0
781,Walter Brennan,1,3,7.0
782,Walter Huston,3,1,5.0
783,Walter Matthau,2,1,4.0
784,Walter Pidgeon,2,0,2.0
785,Warner Baxter,0,1,2.0
786,Warren Beatty,1,0,1.0
787,Wendy Hiller,2,1,4.0
788,Whoopi Goldberg,0,1,2.0
789,Willem Dafoe,2,0,2.0
790,William Bendix,1,0,1.0
791,William Demarest,1,0,1.0
792,William Gargan,1,0,1.0
793,William H. Macy,1,0,1.0
794,William Hickey,1,0,1.0
795,William Holden,1,1,3.0
796,William Hurt,1,0,1.0
797,William Powell,3,0,3.0
798,Winona Ryder,1,0,1.0
799,Woody Harrelson,1,0,1.0
800,Yul Brynner,0,1,2.0
